縣市,行政區,TOWNID,COUNTYID,第一名議員,第一名議員好感度,第二名議員,第二名議員好感度,第三名議員,第三名議員好感度,國民黨籍議員好感度比例,民進黨籍議員好感度比例,其他黨籍議員好感度比例,市長施政滿意比例,市長施政無意見比例,市長施政不滿意比例,政黨比例-國民黨,政黨比例-民進黨,政黨比例-民眾黨,政黨比例-時代力量,政黨比例-基進黨,政黨比例-中間選民,政黨比例-其他政黨
臺中市,外埔區,B21,B,李榮鴻 國民黨,28.33%,施志昌 民進黨,25.00%,吳敏濟 民進黨,24.58%,44.76%,48.65%,6.59%,52.40%,23.95%,23.66%,15.87%,10.78%,6.29%,0.90%,3.59%,55.99%,0.90%
臺中市,大甲區,B11,B,李榮鴻 國民黨,28.33%,施志昌 民進黨,25.00%,吳敏濟 民進黨,24.58%,44.76%,48.65%,6.59%,52.40%,23.95%,23.66%,15.87%,10.78%,6.29%,0.90%,3.59%,55.99%,0.90%
臺中市,大安區,B22,B,李榮鴻 國民黨,28.33%,施志昌 民進黨,25.00%,吳敏濟 民進黨,24.58%,44.76%,48.65%,6.59%,52.40%,23.95%,23.66%,15.87%,10.78%,6.29%,0.90%,3.59%,55.99%,0.90%
臺中市,大里區,B28,B,林碧秀 國民黨,20.47%,林德宇 民進黨,18.55%,李天生 民進黨,16.88%,42.19%,49.67%,8.14%,54.07%,20.56%,25.37%,16.42%,14.29%,6.68%,0.53%,3.47%,50.47%,
臺中市,霧峰區,B26,B,林碧秀 國民黨,20.47%,林德宇 民進黨,18.55%,李天生 民進黨,16.88%,42.19%,49.67%,8.14%,54.07%,20.56%,25.37%,16.42%,14.29%,6.68%,0.53%,3.47%,50.47%,
臺中市,中區,B01,B,江肇國 民進黨,46.95%,黃守達 民進黨,29.67%,張彥彤 國民黨,13.36%,52.80%,42.54%,4.66%,41.04%,23.88%,35.08%,26.49%,10.45%,3.92%,0.93%,2.80%,50.75%,0.19%
臺中市,西區,B04,B,江肇國 民進黨,46.95%,黃守達 民進黨,29.67%,張彥彤 國民黨,13.36%,52.80%,42.54%,4.66%,41.04%,23.88%,35.08%,26.49%,10.45%,3.92%,0.93%,2.80%,50.75%,0.19%
臺中市,太平區,B27,B,李麗華 國民黨,27.46%,賴義鍠 國民黨,27.09%,張玉嬿 民進黨,20.41%,42.65%,52.67%,4.68%,57.24%,20.94%,21.83%,15.81%,19.15%,5.57%,1.78%,2.90%,50.11%,0.45%
臺中市,北屯區,B08,B,沈佑蓮 國民黨,22.93%,曾朝榮 民進黨,17.24%,黃健豪 國民黨,16.22%,39.43%,54.07%,6.49%,56.35%,19.61%,24.04%,13.95%,19.06%,6.08%,1.38%,4.83%,48.20%,0.97%
臺中市,北區,B05,B,陳政顯 國民黨,28.57%,陳文政 國民黨,26.19%,賴佳微 民進黨,23.13%,44.72%,51.11%,4.17%,57.23%,18.06%,24.72%,16.94%,17.78%,4.44%,0.28%,1.39%,55.00%,
臺中市,石岡區,B20,B,冉齡軒 國民黨,42.09%,蔡成圭 民進黨,31.99%,,,38.38%,54.59%,7.03%,59.02%,17.13%,23.85%,8.26%,17.43%,4.28%,0.61%,3.36%,59.02%,1.22%
臺中市,新社區,B19,B,冉齡軒 國民黨,42.09%,蔡成圭 民進黨,31.99%,,,38.38%,54.59%,7.03%,59.02%,17.13%,23.85%,8.26%,17.43%,4.28%,0.61%,3.36%,59.02%,1.22%
臺中市,東勢區,B10,B,冉齡軒 國民黨,42.09%,蔡成圭 民進黨,31.99%,,,38.38%,54.59%,7.03%,59.02%,17.13%,23.85%,8.26%,17.43%,4.28%,0.61%,3.36%,59.02%,1.22%
臺中市,和平區,B29,B,冉齡軒 國民黨,42.09%,蔡成圭 民進黨,31.99%,,,38.38%,54.59%,7.03%,59.02%,17.13%,23.85%,8.26%,17.43%,4.28%,0.61%,3.36%,59.02%,1.22%
臺中市,西屯區,B06,B,黃馨慧 國民黨,20.63%,陳淑華 民進黨,20.08%,林祈烽 民進黨,18.57%,40.95%,49.54%,9.51%,53.75%,21.39%,24.86%,16.64%,18.46%,4.02%,1.65%,4.39%,45.34%,1.83%
臺中市,東區,B02,B,羅廷瑋 國民黨,34.65%,邱素貞 民進黨,16.80%,鄭功進 民進黨,15.76%,40.00%,52.00%,8.00%,53.93%,25.33%,20.74%,13.04%,16.44%,6.37%,0.74%,2.96%,52.44%,0.59%
臺中市,南區,B03,B,羅廷瑋 國民黨,34.65%,邱素貞 民進黨,16.80%,鄭功進 民進黨,15.76%,40.00%,52.00%,8.00%,53.93%,25.33%,20.74%,13.04%,16.44%,6.37%,0.74%,2.96%,52.44%,0.59%
